Country,HE_2000,LE_2000,HE_2005,LE_2005,HE_2010,LE_2010,HE_2015,LE_2015,HE_2020,LE_2020,HE_2021,LE_2021,HE_2022,LE_2022
Bolivia,42.95851135,62.346,51.6701889,64.386,99.99167633,66.162,194.9240112,67.318,241.1182251,64.467,126.1325226,63.63,126.1325226,64.71816667
Bosnia and Herzegovina,106.2890625,74.496,241.7700653,75.42,406.1713257,77.073,430.1271362,76.182,591.4064331,76.225,355.1528046,75.3,355.1528046,75.78266667
Botswana,195.2960205,51.011,263.3413391,52.61,378.646698,60.013,358.2232056,63.818,362.7345276,65.647,311.6483582,61.141,311.6483582,59.04
Brazil,310.6140442,69.737,383.5508728,71.753,893.7750855,73.182,782.5229492,74.332,700.7127075,74.009,614.2351318,72.75,614.2351318,72.62716667
British Virgin Islands,0.0,73.966,0.0,74.723,0.0,75.428,0.0,75.675,0.0,75.849,0.0,74.494,0.0,75.0225
Brunei Darussalam,507.3886719,74.08,643.3348389,74.731,788.5003052,74.849,732.394165,74.75,650.4782105,74.795,664.4192383,74.642,664.4192383,74.64116667
Bulgaria,94.51976013,71.66341463,267.741394,72.56097561,484.7522888,73.51219512,521.4190674,74.61463415,856.7045288,73.65853659,445.0274078,71.51463415,445.0274078,72.92073171
Burkina Faso,7.36981916,50.847,17.50115776,53.092,32.8663559,56.477,32.44025803,58.845,54.17696762,59.731,28.87091169,59.27,28.87091169,56.377
Burundi,8.52349854,47.514,12.73564625,53.023,25.10807228,57.081,18.2036705,60.217,16.42022514,61.566,16.19822254,61.663,16.19822254,56.844
Cabo Verde,58.89910889,68.618,94.58552551,72.68,142.8777161,73.499,139.4853668,74.62,176.0241699,74.808,122.3743774,74.052,122.3743774,73.04616667
Cambodia,19.78130531,58.625,32.52131653,64.293,54.09758377,67.712,72.51950836,69.873,115.7646408,70.416,58.93687096,69.584,58.93687096,66.7505
Cameroon,28.79333305,52.932,42.60778809,54.362,49.50485611,56.582,50.31904221,59.658,58.00534439,60.833,45.84607277,60.333,45.84607277,57.45
Canada,2001.668701,79.16682927,3291.220947,80.11268293,5096.123535,81.32219512,4679.976074,81.81560976,5619.416016,81.6704878,6086.075195,82.59660976,4462.413411,81.11406911
Cayman Islands,0.0,82.1902439,0.0,82.1902439,0.0,82.1902439,0.0,82.1902439,0.0,82.1902439,0.0,82.1902439,0.0,82.1902439
Central African Republic,9.8634491,45.406,14.66589355,46.433,16.40023994,49.255,17.71483231,52.793,41.96052933,54.604,20.12098885,53.895,20.12098885,50.39766667
Chad,10.38308048,47.443,32.28604889,48.312,36.498703,49.584,35.03440857,51.589,34.80130768,52.777,29.80070972,52.525,29.80070972,50.37166667
Channel Islands,0.0,79.155,0.0,80.344,0.0,81.12,0.0,81.433,0.0,81.264,0.0,81.232,0.0,80.758
Chile,356.7441406,76.87,500.8745422,78.016,870.7095947,78.501,1133.279785,79.746,1278.178833,79.377,1478.829346,78.944,936.4360402,78.57566667
China,42.99362183,71.881,73.29019928,74.111,189.3437042,75.599,393.7799072,76.977,583.4321899,78.077,256.5679245,78.211,256.5679245,75.80933333
Colombia,134.2853699,71.32,209.2530212,73.081,452.1530151,75.033,468.5885315,76.257,477.2748108,74.769,348.3109497,72.83,348.3109497,73.88166667
Comoros,47.50021362,58.757,67.78135681,59.604,69.0898819,61.123,60.86703491,62.896,80.82440186,64.166,65.21257782,63.417,65.21257782,61.6605
"Congo, Dem. Rep.",19.25327301,51.781,8.99746132,53.927,12.53950882,56.417,19.13417244,58.49,21.25385666,59.739,16.23565445,59.193,16.23565445,56.59116667
"Congo, Rep.",17.44675827,53.682,31.10122681,58.126,54.86231995,61.683,57.67850113,63.233,80.80835724,63.785,48.37943268,63.519,48.37943268,60.67133333
Costa Rica,247.7019043,77.586,309.5142822,78.505,654.1734009,78.67,875.3497315,79.086,953.0825806,79.277,607.9643799,77.023,607.9643799,78.35783333
Cote d'Ivoire,54.16062546,50.842,62.34985352,51.824,71.98825836,55.023,62.51667023,57.762,85.17427902,59.032,67.23793732,58.598,67.23793732,55.5135
Croatia,371.0621338,72.80780488,727.1310425,75.24463415,1126.373657,76.47560976,795.5083673,77.27560976,1094.532837,77.72439024,822.9216075,76.42439024,822.9216075,75.99207317
Cuba,181.1472473,76.183,331.9881287,77.047,608.9615479,77.661,985.4190064,77.772,1186.161377,77.567,658.7354614,73.683,658.7354614,76.65216667
Curacao,0.0,73.03395122,0.0,73.56570732,0.0,74.8917561,0.0,78.07560976,0.0,74.8917561,0.0,74.8917561,0.0,74.8917561
Cyprus,750.5167236,76.568,1366.01709,78.101,2045.292358,79.665,1596.2052,80.966,2245.36084,81.391,1600.678442,81.203,1600.678442,79.649
Czechia,342.921051,74.96829268,852.6524658,75.92439024,1373.931763,77.42439024,1284.046753,78.57804878,2119.848633,78.22682927,1194.680133,77.37317073,1194.680133,77.08252033
Denmark,2496.047119,76.59268293,4442.755371,77.84390244,6171.285156,79.1,5531.878906,80.70243902,6438.393066,81.60243902,7375.151367,81.40487805,5409.251831,79.54105691
Djibouti,30.90503311,56.573,38.61268234,58.316,51.37112808,60.259,74.74412537,61.957,62.80937195,62.694,51.68846817,62.305,51.68846817,60.35066667
Dominica,259.646698,72.693,263.8952026,72.254,370.3132935,71.55,398.5212402,68.727,426.6643677,73.649,343.8081604,72.814,343.8081604,71.94783333
Dominican Republic,138.9989777,69.423,169.9686585,70.875,271.2666321,72.093,322.9460754,72.953,354.0953369,72.889,251.4551361,72.615,251.4551361,71.808
Ecuador,48.32876968,72.839,168.6268158,74.514,283.8228455,75.43,459.270813,76.789,478.5300293,72.153,287.7158546,73.67,287.7158546,74.2325
"Egypt, Arab Rep.",71.03570557,68.007,60.99180603,68.779,107.4189224,69.664,173.5194397,70.483,150.9065552,70.99,112.7744858,70.221,112.7744858,69.69066667
El Salvador,155.1314545,69.865,223.9718475,70.44,268.6670837,71.848,329.4425049,71.814,385.7433777,71.061,272.5912537,70.748,272.5912537,70.96266667
Equatorial Guinea,36.30750656,53.226,142.00914,55.464,271.0664368,57.878,285.3815002,60.103,236.6204529,60.708,194.2770073,60.594,194.2770073,57.9955
Eritrea,13.1751833,56.111,20.60617447,60.597,24.89262009,63.787,26.84279633,66.033,23.98132896,67.133,21.89962063,66.536,21.89962063,63.36616667
Estonia,209.7131348,70.41707317,524.6801148,72.56829268,926.4541626,75.42926829,1156.202881,77.5902439,1787.866577,78.59512195,2035.619995,76.74146341,1106.756144,75.22357724
Eswatini,77.74626923,47.256,218.7069702,42.125,346.7011719,46.619,252.6778259,55.019,219.1039124,59.692,222.9872299,57.066,222.9872299,51.29616667
Ethiopia,5.31966591,50.538,6.55709887,54.008,16.40672684,59.73,23.53430557,63.649,28.69671059,65.371,16.10290156,64.975,16.10290156,59.71183333
Faroe Islands,0.0,78.43658537,0.0,79.2902439,0.0,80.63658537,0.0,81.79268293,0.0,83.19756098,0.0,83.49756098,0.0,81.14186992
Fiji,75.03528595,66.31,121.2350922,66.632,128.3963776,67.328,169.7298126,66.844,186.3637695,67.924,136.1520676,67.114,136.1520676,67.02533333
Finland,1726.741821,77.46585366,3236.865234,78.81707317,4251.591309,79.87073171,4128.400879,81.4804878,4726.141602,81.93170732,3613.948169,81.93414634,3613.948169,80.25
France,2161.853027,79.05609756,3575.025146,80.16341463,4592.383301,81.66341463,4199.065918,82.32195122,4768.727051,82.17560976,3859.410889,82.32439024,3859.410889,81.28414634
French Polynesia,0.0,79.536,0.0,79.736,0.0,81.039,0.0,82.354,0.0,82.217,0.0,79.486,0.0,80.728
Gabon,123.3315811,61.069,190.2705078,61.959,207.9378357,63.898,188.4241791,65.46,228.9761353,66.531,187.7880478,65.821,187.7880478,64.123
"Gambia, The",46.73692703,56.942,33.33732224,58.394,32.81699753,60.717,19.42744446,62.494,18.58098984,62.612,30.17993622,62.083,30.17993622,60.54033333
Georgia,53.03225327,69.575,134.3929901,71.13,289.5420837,72.128,294.3503113,73.297,320.0052185,72.765,218.2645714,71.694,218.2645714,71.76483333
