Togo,5008035,5711597,6571855,7473229,8442580,8644829,8848699
Tonga,102603,105633,107383,106122,105254,106017,106858
Trinidad and Tobago,1332203,1369075,1410296,1460177,1518147,1525663,1531044
Tunisia,9893316,10388344,10895063,11557779,12161723,12262946,12356117
Turkey,64113547,68704715,73142150,78218479,83384680,84147318,84979913
Turkmenistan,4569132,4885775,5267970,5766431,6250438,6341855,6430770
Turks and Caicos Islands,18744,23995,29726,36538,44276,45114,45703
Tuvalu,9638,9912,10550,10877,11069,11204,11312
Uganda,24020697,27946588,32341728,37477356,44404611,45853778,47249585
Ukraine,49176500,47105171,45870741,45154036,44132049,43822901,38000000
United Arab Emirates,3275333,4280993,8481771,8916899,9287289,9365145,9441129
United Kingdom,58892514,60401206,62766365,65116219,67081234,67026292,66971395
United Republic of Tanzania,34463704,39439505,45110527,52542823,61704518,63588334,65497748
United States of America,282162411,295516599,309327143,320738994,331511512,332031554,333287557
Uruguay,3292224,3317665,3352651,3402818,3429086,3426260,3422794
Uzbekistan,24650400,26167000,28562400,31298900,34232050,34915100,35648100
Vanuatu,192074,217632,245453,276438,311685,319137,326740
Venezuela,24427729,26668785,28715022,30529716,28490453,28199867,28301696
Vietnam,79001142,83142095,87411012,92191398,96648685,97468029,98186856
Virgin Islands,108642,108453,108357,107712,106290,105870,105413
West Bank and Gaza,2922153,3320396,3786161,4270092,4803269,4922749,5043612
Western Sahara,270375,339187,413296,491824,556048,565581,575986
Yemen,18628700,21320671,24743946,28516545,32284046,32981641,33696614
Zambia,9891136,11564870,13792086,16248230,18927715,19473125,20017675
Zimbabwe,11834676,12224753,12839771,14154937,15669666,15993524,16320537
